0,0
0.017,0
0.033,0.0008
0.05,0.0008
0.067,0
0.083,0
0.1,0
0.117,0.0008
0.133,0
0.166,0
0.183,0
0.2,0
0.217,0.0008
0.233,0.0008
0.25,0.0008
0.283,0.0008
0.316,0.0008
0.333,0
0.35,0
0.366,0.0008
0.383,0
0.4,0
0.416,0
0.433,0.0008
0.45,0.0008
0.466,0.0008
0.483,0.0008
0.5,0
0.516,0.0008
0.533,0.0008
0.55,0.0008
0.566,0.0008
0.583,0.0008
0.6,0.0008
0.616,0.0008
0.633,0.0008
0.65,0.0008
0.666,0.0008
0.683,0.0008
0.699,0.0008
0.716,0.0008
0.733,0
0.75,0.07
0.766,0.03708
0.783,0.03708
0.8,0.03708
0.816,0.03708
0.866,0.08
0.883,0.118
0.899,0.118
0.916,0.118
0.933,0.118
0.949,0.48
0.966,0.488
0.983,0.11888
0.999,0.1188
1.049,1.018
1.083,1.018
1.099,1.018
1.183,1.2128
1.199,1.2128
1.216,1.2128
1.282,1.2188
1.299,1.2718
1.349,1.2788
1.383,3.2968
1.399,3.296
1.416,3.296
1.433,3.2968
1.449,3.2968
1.466,3.2968
1.483,3.2968
1.499,3.2968
1.516,3.2968
1.532,3.2968
1.549,3.296
1.566,3.296
1.582,3.296
1.632,5.448
1.649,5.4488
1.666,5.4488
1.682,5.4488
1.699,5.4488
1.716,5.4488
1.732,5.4488
1.749,5.4488
1.766,5.4488
1.782,5.448
1.799,5.1418
1.816,5.118
1.849,5.1188
1.882,6.118
1.899,6.418
1.916,6.418
1.966,5.018
2.065,7.0628
2.165,7.5248
2.182,7.5248
2.199,7.5248
2.215,7.5248
2.232,7.5248
2.465,7.9848
2.765,9.398
2.798,9.7028
2.815,9.7028
2.831,9.7028
2.848,9.7028
2.864,9.7028
2.881,9.7028
2.898,9.7028
2.914,9.7028
2.931,9.7028
2.948,9.7328
2.964,9.73728
2.981,9.37728
2.997,9.3728
3.014,9.9728
3.031,9.9728
3.047,9.9728
3.064,9.3728
3.18,10.3728
3.197,10.3728
3.214,10.3728
3.23,10.3728
3.247,10.3728
3.264,10.3728
3.28,10.3728
3.297,10.3728
3.314,10.3728
3.33,10.3128
3.347,10.542
3.363,10.542
3.38,10.54
3.397,10.54
3.414,10.54
3.43,10.54
3.447,10.548
3.464,10.548
3.48,10.548
3.497,10.548
3.513,10.548
3.53,10.5448
3.547,10.5448
3.563,10.5448
3.58,10.5448
3.597,10.5448
3.613,10.5448
3.63,10.5448
3.647,10.5448
3.663,10.5448
3.68,10.5448
3.697,10.5448
3.713,10.5448
3.73,10.5448
3.747,10.5448
3.763,10.5448
3.847,6.1248
3.913,6.1248
3.93,6.1248
3.947,6.1248
3.963,6.1248
3.98,6.1248
3.997,6.1248
4.013,6.1248
4.03,6.1248
4.046,6.1248
4.08,0.1248
4.096,0.71348
4.113,0.7428
4.13,0.7428
4.146,0.7428
4.163,0.7428
4.18,0.7428
4.196,0.7428
4.213,0.7428
4.23,0.7428
4.246,0.7428
4.263,0.7428
4.28,0.7428
4.296,0.7428
4.313,0.7428
4.33,0.7428
4.346,0.7428
4.363,0.7928
4.38,0.3928
4.396,0.3928
4.413,0.3928
4.429,0.7928
4.446,0.1928
4.463,0.158
4.479,0.158
4.496,0.158
4.513,0.1588
4.53,0.158
4.546,0.1588
4.563,0.158
4.579,0.1588
4.596,0.1588
4.613,0.1588
4.629,0.1588
4.646,0.1588
4.663,0.1158
4.713,0.058
4.729,0.05848
4.746,0.0548
